experiment,dataset,avg_hnsw,avg_hnsw_std,avg_hnswio,avg_hnswio_std,avg_io,avg_io_std
multi,deep,921.2922061971436,103.50387666295494,2022.1353124890338,212.00356251385742,1100.8431062918905,110.56863940137933
multi,fashion-mnist,577.8129276765975,27.279519363639753,1396.659788749693,57.821892609859354,818.8468610730955,30.58236279475352
multi,glove,2129.714636628417,70.50431957439098,3083.0345650419345,101.89518450823797,953.3199284135172,32.21654148159698
multi,glove1M,2411.0381443660735,95.377074658779,3394.14748920939,125.53225287313941,983.109344843317,31.158519677961383
multi,mnist,672.7851703688108,9.678637002509412,1463.4097624311332,18.236676280443113,790.6245920623223,8.611211174055349
multi,sift,749.9127627469558,15.725774333179533,1813.721374179738,126.22064828256855,1063.8086114327823,111.45741031083949
offset,deep,848.7985614035088,13.903570739006346,1215.443789473684,23.148098061547866,366.6452280701754,13.47171137297386
offset,fashion-mnist,583.9674736842106,5.449006244502834,1024.3024561403508,5.652974624828705,440.3349824561403,4.260320524705
offset,glove,2062.939473684211,21.19104439703541,2401.062140350877,25.255588999578094,338.12266666666665,4.070097504849775
offset,glove1M,2323.458350877193,15.442539627706239,2665.796561403509,18.995792773535698,342.33821052631583,3.94960045947357
offset,mnist,708.7191228070175,6.368084099248867,1202.4041754385964,7.5100039093449915,493.6850526315789,2.4568318856054194
offset,sift,764.802947368421,4.101607158824257,1131.5113684210526,21.81209678531043,366.7084210526316,17.82792072305348
single,deep,828.6680703231918,6.0877458006826215,1696.7095132820998,89.8174143153741,868.0414429589079,84.80482112833946
single,fashion-mnist,570.786293294031,13.268970410086524,1295.5837105660246,9.821284216102514,724.7974172719936,5.330314943231152
single,glove,2036.8188230340036,19.73244084451963,2889.510264238341,22.633361635505015,852.6914412043374,12.166736821697869
single,glove1M,2301.050180720778,14.360895837516551,3160.356528757413,19.459872497400546,859.3063480366354,5.099206946450455
single,mnist,673.2848370003861,14.888627807337262,1399.9030775169315,19.725181783498087,726.6182405165456,5.665609265643567
single,sift,817.6628417026354,97.22424426843709,1624.021370670597,241.81210646224622,806.3585289679617,144.658207718493
