dataset,avg_hnsw,avg_hnswio,avg_io,io_ratio,hnsw_ratio
deep,1122.3578856253876,2260.3893860172416,1138.031500391854,50.34670165378194,49.65329834621806
fashion-mnist,633.160554912213,1486.137488156648,852.9769332444351,57.39555996951785,42.60444003048216
glove,2880.1284696634734,3910.859447193272,1030.7309775297986,26.35561291443314,73.64438708556685
glove1M,2902.7204968944097,3937.756582564247,1035.0360856698364,26.284917921356794,73.71508207864319
mnist,781.5577546174451,1623.5447357031735,841.9869810857284,51.861027452443764,48.13897254755623
sift,969.063772794797,2110.9617620568247,1141.8979892620275,54.093731577089976,45.90626842291002
